scale,absort.x,test,test_name,domain,subdomain,narrow,pass,verbal,timed,test_type,score_type,description,absort.y,scale_description,primary_function
Digits Backward,nab_14,nab,NAB,Attention/Executive,Working Memory,Verbal Working Memory,Attention,Verbal,Untimed,npsych_test,t_score,A measure of both attentional capacity and working memory,NA,DGB Reversal of orally presented digits,Working memory for orally presented information
Digits Backward Longest Span,nab_15,nab,NAB,Attention/Executive,Working Memory,Verbal Working Memory,Attention,Verbal,Untimed,npsych_test,raw_score,Working memory for orally presented information,NA,DGB Reversal of orally presented digits,Working memory for orally presented information
Dots,nab_16,nab,NAB,Attention/Executive,Working Memory,Nonverbal Working Memory,Attention,Nonverbal,Timed,npsych_test,t_score,"Performance on a delayed recognition visual span task, in which an array of dots was exposed for a brief period, followed by a blank page, and then a new array with one additional dot that the patient had to point out",NA,"DOT Delayed recognition span paradigm, in which an array of dots is exposed for a brief period, followed by a blank interference page, followed by a new array with one additional dot; examinee points to “new” dot",Visual working memory and visual scanning
Numbers & Letters Part A Speed,nab_17,nab,NAB,Attention/Executive,Processing Speed,Psychomotor Speed,Planning,Nonverbal,Timed,npsych_test,t_score,Focused attention and rapid visual scanning,NA,"N&L Four timed tasks (Parts A, B, C, and D) involving letter cancellation, letter counting, serial addition, and letter cancellation plus serial addition, respectively","Psychomotor speed, concentration, sustained attention, focused or selective attention, divided attention, and information processing speed"
Numbers & Letters Part A Errors,nab_18,nab,NAB,Attention/Executive,Attention,Response Monitoring,Attention,Nonverbal,Timed,npsych_test,t_score,A marker of reduced focus and distractibility,NA,"N&L Four timed tasks (Parts A, B, C, and D) involving letter cancellation, letter counting, serial addition, and letter cancellation plus serial addition, respectively","Psychomotor speed, concentration, sustained attention, focused or selective attention, divided attention, and information processing speed"
Numbers & Letters Part A Efficiency,nab_19,nab,NAB,Attention/Executive,Processing Speed,Cognitive Efficiency,Planning,Nonverbal,Timed,npsych_test,t_score,Focused attention and rapid visual scanning on a while performing a selective attention letter-cancellation task (motor),NA,"N&L Four timed tasks (Parts A, B, C, and D) involving letter cancellation, letter counting, serial addition, and letter cancellation plus serial addition, respectively","Psychomotor speed, concentration, sustained attention, focused or selective attention, divided attention, and information processing speed"
Numbers & Letters Part B Efficiency,nab_20,nab,NAB,Attention/Executive,Attention,Attentional Fluency,Planning,Nonverbal,Timed,npsych_test,t_score,"A speeded focused attention letter-counting task requiring the patient to count all of the target letters (X) in successive rows of random numbers and letters (psycho, count)",NA,"N&L Four timed tasks (Parts A, B, C, and D) involving letter cancellation, letter counting, serial addition, and letter cancellation plus serial addition, respectively","Psychomotor speed, concentration, sustained attention, focused or selective attention, divided attention, and information processing speed"
Numbers & Letters Part C Efficiency,nab_21,nab,NAB,Attention/Executive,Attention,Attentional Fluency,Planning,Nonverbal,Timed,npsych_test,t_score,"A speeded serial addition task requiring the patient to add numbers in successive rows of random numbers and letters on a page (psycho, add)",NA,"N&L Four timed tasks (Parts A, B, C, and D) involving letter cancellation, letter counting, serial addition, and letter cancellation plus serial addition, respectively","Psychomotor speed, concentration, sustained attention, focused or selective attention, divided attention, and information processing speed"
Numbers & Letters Part D Efficiency,nab_22,nab,NAB,Attention/Executive,Attention,Attentional Fluency,Planning,Nonverbal,Timed,npsych_test,t_score,"Performance on a complex measure of divided attention (cancelling + counting), information processing speed, and inhibition",NA,"N&L Four timed tasks (Parts A, B, C, and D) involving letter cancellation, letter counting, serial addition, and letter cancellation plus serial addition, respectively","Psychomotor speed, concentration, sustained attention, focused or selective attention, divided attention, and information processing speed"
Numbers & Letters Part D Disruption,nab_23,nab,NAB,Attention/Executive,Attention,Attentional Fluency,Planning,Nonverbal,Timed,npsych_test,t_score,Difference between selective attention and divided attention,NA,"N&L Four timed tasks (Parts A, B, C, and D) involving letter cancellation, letter counting, serial addition, and letter cancellation plus serial addition, respectively","Psychomotor speed, concentration, sustained attention, focused or selective attention, divided attention, and information processing speed"
Driving Scenes,nab_24,nab,NAB Daily Living,Daily Living,Everyday Attention,Everyday Attention,Attention,NA,Timed,npsych_test,t_score,"A test of visual scanning, attention to detail, and selective attention requiring the patient to view a series of successive driving scenes (as viewed from behind a steering wheel) and then indicate subtle changes of what was new, different, or missing relative to the previously viewed scene",NA,"DRV Daily Living task in which the examinee is first presented with a drawing of a driving scene as viewed from behind a steering wheel, and then shown another scene and asked to say and point to everything that is new, different, or missing relative to the previous scene; this is continued for four additional scenes","Visual working memory, visual scanning, attention to detail, and selective attention"
Oral Production,nab_25,nab,NAB,Verbal/Language,Expression,Verbal Expression,Sequential,Verbal,Untimed,npsych_test,t_score,Timed oral productivity and the ability to generate descriptive components of a picture of a family scene on a task requiring initiating and sustaining verbal behavior,NA,OPD Speech output task in which the examinee orally describes a picture of a family scene,"Speech output, fluency"
Auditory Comprehension,nab_26,nab,NAB,Verbal/Language,Comprehension,Listening Ability,Attention,Verbal,Untimed,npsych_test,t_score,"Auditory comprehension (i.e., the ability to receive, process, and execute oral instructions of increasing syntactic complexity)",NA,"AUD Six-part test that requires examinee to demonstrate comprehension of orally presented instructions; tasks include performing one- to four-step commands, the concepts of before/after, above/below, and right/left, body-part identification, yes/no questions, and paper folding",Auditory language comprehension
Auditory Comprehension Colors,nab_27,nab,NAB,Verbal/Language,Comprehension,Listening Ability,Attention,Verbal,Untimed,npsych_test,base_rate,Auditory comprehnsion colors,NA,"AUD Six-part test that requires examinee to demonstrate comprehension of orally presented instructions; tasks include performing one- to four-step commands, the concepts of before/after, above/below, and right/left, body-part identification, yes/no questions, and paper folding",Auditory language comprehension
Auditory Comprehension Shapes,nab_28,nab,NAB,Verbal/Language,Comprehension,Listening Ability,Attention,Verbal,Untimed,npsych_test,base_rate,Auditory comprehension paper shapes,NA,"AUD Six-part test that requires examinee to demonstrate comprehension of orally presented instructions; tasks include performing one- to four-step commands, the concepts of before/after, above/below, and right/left, body-part identification, yes/no questions, and paper folding",Auditory language comprehension
Auditory Comprehension Colors/Shapes/Numbers,nab_29,nab,NAB,Verbal/Language,Comprehension,Listening Ability,Attention,Verbal,Untimed,npsych_test,base_rate,Auditory comprehension colors/shapes/numbers,NA,"AUD Six-part test that requires examinee to demonstrate comprehension of orally presented instructions; tasks include performing one- to four-step commands, the concepts of before/after, above/below, and right/left, body-part identification, yes/no questions, and paper folding",Auditory language comprehension
Auditory Comprehension Pointing,nab_30,nab,NAB,Verbal/Language,Comprehension,Listening Ability,Attention,Verbal,Untimed,npsych_test,t_score,Auditory comprehension pointing,NA,"AUD Six-part test that requires examinee to demonstrate comprehension of orally presented instructions; tasks include performing one- to four-step commands, the concepts of before/after, above/below, and right/left, body-part identification, yes/no questions, and paper folding",Auditory language comprehension
Auditory Comprehension Yes/No,nab_31,nab,NAB,Verbal/Language,Comprehension,Listening Ability,Attention,Verbal,Untimed,npsych_test,t_score,Auditory comprehension yes/no,NA,"AUD Six-part test that requires examinee to demonstrate comprehension of orally presented instructions; tasks include performing one- to four-step commands, the concepts of before/after, above/below, and right/left, body-part identification, yes/no questions, and paper folding",Auditory language comprehension
Auditory Comprehension Paper Folding,nab_32,nab,NAB,Verbal/Language,Comprehension,Listening Ability,Attention,Verbal,Untimed,npsych_test,t_score,Auditory comprehension paper folding,NA,"AUD Six-part test that requires examinee to demonstrate comprehension of orally presented instructions; tasks include performing one- to four-step commands, the concepts of before/after, above/below, and right/left, body-part identification, yes/no questions, and paper folding",Auditory language comprehension
Naming,nab_33,nab,NAB,Verbal/Language,Expression,Expressive Vocabulary,Knowledge,Verbal,Untimed,npsych_test,t_score,Word-finding ability and retrieval fluency on a confrontation naming task,NA,NAM Visual confrontation naming task in which the examinee states the name of a pictured object; semantic and phonemic cues are provided if necessary,"Visual confrontation naming, word-finding"
Naming Semantic Cuing,nab_34,nab,NAB,Verbal/Language,Expression,Expressive Vocabulary,Knowledge,Verbal,Untimed,npsych_test,base_rate,Picture naming semantic cuing,NA,NAM Visual confrontation naming task in which the examinee states the name of a pictured object; semantic and phonemic cues are provided if necessary,"Visual confrontation naming, word-finding"
Naming Phonemic Cuing,nab_35,nab,NAB,Verbal/Language,Expression,Expressive Vocabulary,Knowledge,Verbal,Untimed,npsych_test,base_rate,Picture naming phonemic cuing,NA,NAM Visual confrontation naming task in which the examinee states the name of a pictured object; semantic and phonemic cues are provided if necessary,"Visual confrontation naming, word-finding"
Reading Comprehension,nab_36,nab,NAB,Verbal/Language,Comprehension,Reading Comprehension,Sequential,Verbal,Untimed,npsych_test,t_score,"Reading comprehension, which the patient was shown a photograph of an object along with six printed words (five foil words and the sixth word that correctly named the object), requiring them to point to the correct word, and then presented with a photograph of a scene involving one or more people engaged in an activity with four printed sentences (three foil sentences and the fourth sentence correctly describing the photograph), requiring them to point to the correct sentence",NA,RCN Two-part test that requires the examinee to demonstrate reading comprehension of single words and of sentences by pointing to multiple choice written words and sentences that match visual stimuli,Reading comprehension of single words and sentences
Reading Comprehension Words,nab_37,nab,NAB,Verbal/Language,Comprehension,Reading Comprehension,Sequential,Verbal,Untimed,npsych_test,t_score,Reading comprehension for words,NA,RCN Two-part test that requires the examinee to demonstrate reading comprehension of single words and of sentences by pointing to multiple choice written words and sentences that match visual stimuli,Reading comprehension of single words and sentences
Reading Comprehension Sentences,nab_38,nab,NAB,Verbal/Language,Comprehension,Reading Comprehension,Sequential,Verbal,Untimed,npsych_test,t_score,Reading comprehension for sentences,NA,RCN Two-part test that requires the examinee to demonstrate reading comprehension of single words and of sentences by pointing to multiple choice written words and sentences that match visual stimuli,Reading comprehension of single words and sentences
Writing,nab_39,nab,NAB,Verbal/Language,Expression,Written Expression,Sequential,Nonverbal,Untimed,npsych_test,t_score,On a measure of narrative writing in which the patient was shown the same colorful picture of a family scene used in the oral production test and then asked to write about the scene,NA,"WRT Narrative writing task in which the examinee is shown the same drawing of a family scene used in the Oral Production test and asked to write about it; the writing sample is scored with regard to legibility, syntax, spelling, and conveyance","Narrative writing, verbal fluency, spelling"
Writing Legibility,nab_40,nab,NAB,Attention/Executive,Executive,Planning,Planning,Nonverbal,Untimed,npsych_test,t_score,Writing legibility,NA,"WRT Narrative writing task in which the examinee is shown the same drawing of a family scene used in the Oral Production test and asked to write about it; the writing sample is scored with regard to legibility, syntax, spelling, and conveyance","Narrative writing, verbal fluency, spelling"
Writing Spelling,nab_41,nab,NAB,Attention/Executive,Executive,Planning,Planning,Nonverbal,Untimed,npsych_test,t_score,Correct spelling during writing,NA,"WRT Narrative writing task in which the examinee is shown the same drawing of a family scene used in the Oral Production test and asked to write about it; the writing sample is scored with regard to legibility, syntax, spelling, and conveyance","Narrative writing, verbal fluency, spelling"
Writing Syntax,nab_42,nab,NAB,Attention/Executive,Executive,Planning,Planning,Nonverbal,Untimed,npsych_test,t_score,Appropriate use of syntax when writing,NA,"WRT Narrative writing task in which the examinee is shown the same drawing of a family scene used in the Oral Production test and asked to write about it; the writing sample is scored with regard to legibility, syntax, spelling, and conveyance","Narrative writing, verbal fluency, spelling"
Writing Conveyance,nab_43,nab,NAB,Attention/Executive,Executive,Planning,Planning,Nonverbal,Untimed,npsych_test,t_score,A cohensive theme and conveyance when writing,NA,"WRT Narrative writing task in which the examinee is shown the same drawing of a family scene used in the Oral Production test and asked to write about it; the writing sample is scored with regard to legibility, syntax, spelling, and conveyance","Narrative writing, verbal fluency, spelling"
Bill Payment,nab_44,nab,NAB Daily Living,Daily Living,Everyday Language,Everyday Language,Planning,NA,Untimed,npsych_test,t_score,"Performance on a bill payment task in which the patient was presented with a utility bill statement, check ledger, check, and envelope, and asked to follow a series of commands requiring oral and written responses of increasing complexity",NA,"BIL Daily Living task in which the examinee is given a utility bill statement, check ledger, check, and envelope, and asked to follow a series of eight commands requiring oral and written responses of increasing complexity","Auditory language comprehension, reading comprehension, writing, simple calculations, speech output"
List Learning List A Trial 1 Immediate Recall,nab_45,nab,NAB,Memory,Learning Efficiency,Word-List Learning,Sequential,Verbal,Untimed,npsych_test,t_score,Total words recalled on the first trial of a list-learning task,NA,"LL Verbal list learning task involving three learning trials of a 12-word list, followed by an interference list, and then short delay free recall, long delay free recall, and long delay forced-choice recognition tasks; the word list includes three embedded semantic categories with 4 words in each category","Explicit learning of verbal information across trials, delayed free recall, and delayed recognition"
List Learning List A Trial 2 Immediate Recall,nab_46,nab,NAB,Memory,Learning Efficiency,Word-List Learning,Sequential,Verbal,Untimed,npsych_test,t_score,Total words recalled on the second trial of a list-learning task,NA,"LL Verbal list learning task involving three learning trials of a 12-word list, followed by an interference list, and then short delay free recall, long delay free recall, and long delay forced-choice recognition tasks; the word list includes three embedded semantic categories with 4 words in each category","Explicit learning of verbal information across trials, delayed free recall, and delayed recognition"
List Learning List A Trial 3 Immediate Recall,nab_47,nab,NAB,Memory,Learning Efficiency,Word-List Learning,Sequential,Verbal,Untimed,npsych_test,t_score,Total words recalled on the third trial of a list-learning task,NA,"LL Verbal list learning task involving three learning trials of a 12-word list, followed by an interference list, and then short delay free recall, long delay free recall, and long delay forced-choice recognition tasks; the word list includes three embedded semantic categories with 4 words in each category","Explicit learning of verbal information across trials, delayed free recall, and delayed recognition"
List Learning List A Immediate Recall,nab_48,nab,NAB,Memory,Learning Efficiency,Word-List Learning,Sequential,Verbal,Untimed,npsych_test,t_score,Total words recalled immediately after all learning trials of List A,NA,"LL Verbal list learning task involving three learning trials of a 12-word list, followed by an interference list, and then short delay free recall, long delay free recall, and long delay forced-choice recognition tasks; the word list includes three embedded semantic categories with 4 words in each category","Explicit learning of verbal information across trials, delayed free recall, and delayed recognition"
List Learning List B Immediate Recall,nab_49,nab,NAB,Memory,Learning Efficiency,Word-List Learning,Sequential,Verbal,Untimed,npsych_test,t_score,"Total words recalled immediately after a single presentation of List B, an interference list",NA,"LL Verbal list learning task involving three learning trials of a 12-word list, followed by an interference list, and then short delay free recall, long delay free recall, and long delay forced-choice recognition tasks; the word list includes three embedded semantic categories with 4 words in each category","Explicit learning of verbal information across trials, delayed free recall, and delayed recognition"
List Learning List A Short Delayed Recall,nab_50,nab,NAB,Memory,Delayed Recall,Free-Recall Memory,Sequential,Verbal,Untimed,npsych_test,t_score,Total words recalled after a short delay following the initial learning trials of List A,NA,"LL Verbal list learning task involving three learning trials of a 12-word list, followed by an interference list, and then short delay free recall, long delay free recall, and long delay forced-choice recognition tasks; the word list includes three embedded semantic categories with 4 words in each category","Explicit learning of verbal information across trials, delayed free recall, and delayed recognition"
List Learning List A Long Delayed Recall,nab_51,nab,NAB,Memory,Delayed Recall,Free-Recall Memory,Sequential,Verbal,Untimed,npsych_test,t_score,Total words recalled after a long delay following the initial learning trials of List A,NA,"LL Verbal list learning task involving three learning trials of a 12-word list, followed by an interference list, and then short delay free recall, long delay free recall, and long delay forced-choice recognition tasks; the word list includes three embedded semantic categories with 4 words in each category","Explicit learning of verbal information across trials, delayed free recall, and delayed recognition"
List Learning List A Percent Retention,nab_52,nab,NAB,Memory,Rapid Forgetting,Rapid Forgetting,Sequential,Verbal,Untimed,npsych_test,t_score,"Percentage of words retained from List A after a delay, calculated as the ratio of words recalled after the delay to the words recalled immediately",NA,"LL Verbal list learning task involving three learning trials of a 12-word list, followed by an interference list, and then short delay free recall, long delay free recall, and long delay forced-choice recognition tasks; the word list includes three embedded semantic categories with 4 words in each category","Explicit learning of verbal information across trials, delayed free recall, and delayed recognition"
List Learning List A Long Delayed Forced-Choice Recognition,nab_53,nab,NAB,Memory,Delayed Recall,Recognition Memory,Sequential,Verbal,Untimed,npsych_test,t_score,"Number of words correctly recognized from List A after a long delay, using a forced-choice format",NA,"LL Verbal list learning task involving three learning trials of a 12-word list, followed by an interference list, and then short delay free recall, long delay free recall, and long delay forced-choice recognition tasks; the word list includes three embedded semantic categories with 4 words in each category","Explicit learning of verbal information across trials, delayed free recall, and delayed recognition"
List Learning List A Long Delayed Forced-Choice Recognition False Alarms,nab_54,nab,NAB,Memory,Delayed Recall,Recognition Memory,Sequential,Verbal,Untimed,npsych_test,t_score,"Number of false alarms, or incorrect recognitions, in the forced-choice recognition task for List A after a long delay",NA,"LL Verbal list learning task involving three learning trials of a 12-word list, followed by an interference list, and then short delay free recall, long delay free recall, and long delay forced-choice recognition tasks; the word list includes three embedded semantic categories with 4 words in each category","Explicit learning of verbal information across trials, delayed free recall, and delayed recognition"
List Learning List A Discriminability Index,nab_55,nab,NAB,Memory,Delayed Recall,Recognition Memory,Sequential,Verbal,Untimed,npsych_test,t_score,Measure of the ability to distinguish between target and non-target words in the forced-choice recognition task for List A after a long delay,NA,"LL Verbal list learning task involving three learning trials of a 12-word list, followed by an interference list, and then short delay free recall, long delay free recall, and long delay forced-choice recognition tasks; the word list includes three embedded semantic categories with 4 words in each category","Explicit learning of verbal information across trials, delayed free recall, and delayed recognition"
List Learning List A Recall vs. Recognition Index,nab_56,nab,NAB,Memory,Rapid Forgetting,Rapid Forgetting,Sequential,Verbal,Untimed,npsych_test,t_score,A comparison of the number of daily living tasks recalled versus those recognized,NA,"LL Verbal list learning task involving three learning trials of a 12-word list, followed by an interference list, and then short delay free recall, long delay free recall, and long delay forced-choice recognition tasks; the word list includes three embedded semantic categories with 4 words in each category","Explicit learning of verbal information across trials, delayed free recall, and delayed recognition"
List Learning Semantic Clusters,nab_57,nab,NAB,Attention/Executive,Executive,Organization,Planning,Verbal,Untimed,npsych_test,t_score,Number of semantically related clusters of words recalled during the List Learning task,NA,"LL Verbal list learning task involving three learning trials of a 12-word list, followed by an interference list, and then short delay free recall, long delay free recall, and long delay forced-choice recognition tasks; the word list includes three embedded semantic categories with 4 words in each category","Explicit learning of verbal information across trials, delayed free recall, and delayed recognition"
List Learning Perseverations,nab_58,nab,NAB,Attention/Executive,Attention,Response Monitoring,Attention,Verbal,Untimed,npsych_test,t_score,Number of repeated responses or perseverations made during the List Learning task,NA,"LL Verbal list learning task involving three learning trials of a 12-word list, followed by an interference list, and then short delay free recall, long delay free recall, and long delay forced-choice recognition tasks; the word list includes three embedded semantic categories with 4 words in each category","Explicit learning of verbal information across trials, delayed free recall, and delayed recognition"
List Learning Intrusions,nab_59,nab,NAB,Attention/Executive,Attention,Response Monitoring,Attention,Verbal,Untimed,npsych_test,t_score,Number of non-list words incorrectly recalled during the List Learning task,NA,"LL Verbal list learning task involving three learning trials of a 12-word list, followed by an interference list, and then short delay free recall, long delay free recall, and long delay forced-choice recognition tasks; the word list includes three embedded semantic categories with 4 words in each category","Explicit learning of verbal information across trials, delayed free recall, and delayed recognition"
Shape Learning Trial 1 Immediate Recognition,nab_60,nab,NAB,Memory,Learning Efficiency,Visual Memory,Simultaneous,Nonverbal,Untimed,npsych_test,t_score,Total shapes correctly recognized on the first trial of a shape-learning task,NA,"SHL Visual learning task involving three learning trials and multiple-choice immediate recognition of nine visual stimuli, followed by delayed recognition and forced-choice recall","Explicit learning of visual information across trials, delayed recognition"
Shape Learning Trial 2 Immediate Recognition,nab_61,nab,NAB,Memory,Learning Efficiency,Visual Memory,Simultaneous,Nonverbal,Untimed,npsych_test,t_score,Total shapes correctly recognized on the second trial of a shape-learning task,NA,"SHL Visual learning task involving three learning trials and multiple-choice immediate recognition of nine visual stimuli, followed by delayed recognition and forced-choice recall","Explicit learning of visual information across trials, delayed recognition"
Shape Learning Trial 3 Immediate Recognition,nab_62,nab,NAB,Memory,Learning Efficiency,Visual Memory,Simultaneous,Nonverbal,Untimed,npsych_test,t_score,Total shapes correctly recognized on the third trial of a shape-learning task,NA,"SHL Visual learning task involving three learning trials and multiple-choice immediate recognition of nine visual stimuli, followed by delayed recognition and forced-choice recall","Explicit learning of visual information across trials, delayed recognition"
Shape Learning Immediate Recognition,nab_63,nab,NAB,Memory,Learning Efficiency,Visual Memory,Simultaneous,Nonverbal,Untimed,npsych_test,t_score,Total shapes correctly recognized immediately after all learning trials,NA,"SHL Visual learning task involving three learning trials and multiple-choice immediate recognition of nine visual stimuli, followed by delayed recognition and forced-choice recall","Explicit learning of visual information across trials, delayed recognition"
Shape Learning Delayed Recognition,nab_64,nab,NAB,Memory,Delayed Recall,Visual Memory,Simultaneous,Nonverbal,Untimed,npsych_test,t_score,Total shapes correctly recognized after a delay following the initial learning trials,NA,"SHL Visual learning task involving three learning trials and multiple-choice immediate recognition of nine visual stimuli, followed by delayed recognition and forced-choice recall","Explicit learning of visual information across trials, delayed recognition"
Shape Learning Percent Retention,nab_65,nab,NAB,Memory,Rapid Forgetting,Rapid Forgetting,Simultaneous,Nonverbal,Untimed,npsych_test,percentile,"Percentage of shapes retained after a delay, calculated as the ratio of shapes recognized after the delay to the shapes recognized immediately",NA,"SHL Visual learning task involving three learning trials and multiple-choice immediate recognition of nine visual stimuli, followed by delayed recognition and forced-choice recall","Explicit learning of visual information across trials, delayed recognition"
Shape Learning Delayed Forced-Choice Recognition,nab_66,nab,NAB,Memory,Delayed Recall,Recognition Memory,Simultaneous,Nonverbal,Untimed,npsych_test,t_score,Number of shapes correctly recognized after a delay using a forced-choice format,NA,"SHL Visual learning task involving three learning trials and multiple-choice immediate recognition of nine visual stimuli, followed by delayed recognition and forced-choice recall","Explicit learning of visual information across trials, delayed recognition"
Shape Learning Delayed Forced-Choice Recognition False Alarms,nab_67,nab,NAB,Memory,Delayed Recall,Recognition Memory,Simultaneous,Nonverbal,Untimed,npsych_test,t_score,"Number of false alarms, or incorrect recognitions, in the forced-choice recognition task after a delay",NA,"SHL Visual learning task involving three learning trials and multiple-choice immediate recognition of nine visual stimuli, followed by delayed recognition and forced-choice recall","Explicit learning of visual information across trials, delayed recognition"
Shape Learning Discriminability Index,nab_68,nab,NAB,Memory,Delayed Recall,Recognition Memory,Simultaneous,Nonverbal,Untimed,npsych_test,t_score,Measure of the ability to distinguish between target and non-target shapes in the forced-choice recognition task after a delay,NA,"SHL Visual learning task involving three learning trials and multiple-choice immediate recognition of nine visual stimuli, followed by delayed recognition and forced-choice recall","Explicit learning of visual information across trials, delayed recognition"
Story Learning Trial 1 Phrase Unit Immediate Recall,nab_69,nab,NAB,Memory,Learning Efficiency,Story Memory,Sequential,Verbal,Untimed,npsych_test,t_score,The number of important phrases recalled from the story on the first attempt,NA,"STL Verbal learning task involving immediate and delayed free recall of a five-sentence story; two learning trials are provided, and recall is scored for both verbatim and gist elements",Explicit learning and delayed free recall of logically organized verbal information
Story Learning Trial 2 Phrase Unit Immediate Recall,nab_70,nab,NAB,Memory,Rapid Forgetting,Rapid Forgetting,Sequential,Verbal,Untimed,npsych_test,t_score,The number of important phrases recalled from the story on the second attempt,NA,"STL Verbal learning task involving immediate and delayed free recall of a five-sentence story; two learning trials are provided, and recall is scored for both verbatim and gist elements",Explicit learning and delayed free recall of logically organized verbal information
Story Learning Phrase Unit Immediate Recall,nab_71,nab,NAB,Memory,Learning Efficiency,Story Memory,Sequential,Verbal,Untimed,npsych_test,t_score,The number of important phrases recalled immediately after hearing the entire story,NA,"STL Verbal learning task involving immediate and delayed free recall of a five-sentence story; two learning trials are provided, and recall is scored for both verbatim and gist elements",Explicit learning and delayed free recall of logically organized verbal information
Story Learning Thematic Unit Immediate Recall,nab_72,nab,NAB,Memory,Learning Efficiency,Story Memory,Sequential,Verbal,Untimed,npsych_test,t_score,The number of key ideas or themes recalled immediately after hearing the entire story,NA,"STL Verbal learning task involving immediate and delayed free recall of a five-sentence story; two learning trials are provided, and recall is scored for both verbatim and gist elements",Explicit learning and delayed free recall of logically organized verbal information
Story Learning Trial 1 Thematic Unit Immediate Recall,nab_73,nab,NAB,Memory,Learning Efficiency,Story Memory,Sequential,Verbal,Untimed,npsych_test,t_score,The number of key ideas or themes recalled from the story on the first attempt,NA,"STL Verbal learning task involving immediate and delayed free recall of a five-sentence story; two learning trials are provided, and recall is scored for both verbatim and gist elements",Explicit learning and delayed free recall of logically organized verbal information
Story Learning Trial 2 Thematic Unit Immediate Recall,nab_74,nab,NAB,Memory,Rapid Forgetting,Rapid Forgetting,Sequential,Verbal,Untimed,npsych_test,t_score,The number of key ideas or themes recalled from the story on the second attempt,NA,"STL Verbal learning task involving immediate and delayed free recall of a five-sentence story; two learning trials are provided, and recall is scored for both verbatim and gist elements",Explicit learning and delayed free recall of logically organized verbal information
Story Learning Phrase Unit Delayed Recall,nab_75,nab,NAB,Memory,Delayed Recall,Story Memory,Sequential,Verbal,Untimed,npsych_test,t_score,"The number of important phrases recalled after a delay, without hearing the story again",NA,"STL Verbal learning task involving immediate and delayed free recall of a five-sentence story; two learning trials are provided, and recall is scored for both verbatim and gist elements",Explicit learning and delayed free recall of logically organized verbal information
Story Learning Thematic Unit Delayed Recall,nab_76,nab,NAB,Memory,Delayed Recall,Story Memory,Sequential,Verbal,Untimed,npsych_test,t_score,"The number of key ideas or themes recalled after a delay, without hearing the story again",NA,"STL Verbal learning task involving immediate and delayed free recall of a five-sentence story; two learning trials are provided, and recall is scored for both verbatim and gist elements",Explicit learning and delayed free recall of logically organized verbal information
